condition,criticality,availability,failureRisk,km,failed
Good,Low,99,10,110,0
Good,Medium,97,20,115,0
Good,High,95,30,120,0
Good,Critical,96,35,125,0
Fair,Low,94,25,130,0
Fair,Medium,90,40,135,0
Fair,High,88,50,140,0
Fair,Critical,85,60,145,1
Poor,Low,85,50,150,0
Poor,Medium,80,60,155,1
Poor,High,75,70,160,1
Poor,Critical,70,80,165,1
Critical,Low,70,70,170,1
Critical,Medium,65,80,175,1
Critical,High,55,90,180,1
Critical,Critical,45,95,185,1
Good,Low,98,15,190,0
Good,High,92,35,195,0
Fair,Medium,86,45,200,0
Fair,High,82,55,205,1
Poor,Medium,78,65,210,1
Poor,Critical,68,75,215,1
Critical,Medium,60,85,220,1
Critical,Critical,40,95,225,1
Good,Medium,99,18,230,0
Fair,Low,91,35,235,0
Poor,High,72,75,240,1
Critical,High,50,92,245,1
Good,Critical,94,40,250,0
Fair,Critical,80,65,255,1
